,address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,name,number,position,status
0,Smithfield North,0,30,True,30,False,Dublin,1457385486000,SMITHFIELD NORTH,42,"{'lat': 53.349562, 'lng': -6.278198}",OPEN
1,Parnell Square North,20,0,True,20,False,Dublin,1457385315000,PARNELL SQUARE NORTH,30,"{'lat': 53.353462, 'lng': -6.265305}",OPEN
2,Pearse Street,29,1,True,30,False,Dublin,1457385630000,PEARSE STREET,32,"{'lat': 53.344304, 'lng': -6.250427}",OPEN
3,Excise Walk,22,18,False,40,False,Dublin,1457385866000,EXCISE WALK,48,"{'lat': 53.347777, 'lng': -6.244239}",OPEN
4,Fitzwilliam Square West,30,0,False,30,False,Dublin,1457385407000,FITZWILLIAM SQUARE WEST,13,"{'lat': 53.336073999999996, 'lng': -6.252825}",OPEN
5,St. James Hospital (Central),18,22,False,40,False,Dublin,1457385409000,ST. JAMES HOSPITAL (CENTRAL),81,"{'lat': 53.339983, 'lng': -6.295594}",OPEN
6,Hanover Quay,31,9,True,40,False,Dublin,1457385439000,HANOVER QUAY,68,"{'lat': 53.344115, 'lng': -6.237153}",OPEN
7,Oliver Bond Street,19,11,False,30,False,Dublin,1457385500000,OLIVER BOND STREET,74,"{'lat': 53.343893, 'lng': -6.280531}",OPEN
8,Collins Barracks Museum,0,38,True,38,False,Dublin,1457385556000,COLLINS BARRACKS MUSEUM,87,"{'lat': 53.347477, 'lng': -6.28525}",OPEN
9,Brookfield Road,0,30,False,30,False,Dublin,1457385706000,BROOKFIELD ROAD,84,"{'lat': 53.339005, 'lng': -6.300217}",OPEN
10,Clonmel Street,32,1,False,33,False,Dublin,1457385811000,CLONMEL STREET,54,"{'lat': 53.336021, 'lng': -6.26298}",OPEN
11,James Street East,30,0,False,30,False,Dublin,1457385379000,JAMES STREET EAST,20,"{'lat': 53.336485, 'lng': -6.248174}",OPEN
12,Mount Street Lower,36,4,False,40,False,Dublin,1457385731000,MOUNT STREET LOWER,56,"{'lat': 53.33796, 'lng': -6.24153}",OPEN
13,Christchurch Place,19,1,False,20,False,Dublin,1457385750000,CHRISTCHURCH PLACE,6,"{'lat': 53.343368, 'lng': -6.27012}",OPEN
14,Grantham Street,23,7,True,30,False,Dublin,1457385838000,GRANTHAM STREET,18,"{'lat': 53.334123, 'lng': -6.265436}",OPEN
15,York Street East,30,2,False,32,False,Dublin,1457385752000,YORK STREET EAST,52,"{'lat': 53.338755, 'lng': -6.262003}",OPEN
16,Portobello Road,0,30,True,30,False,Dublin,1457385856000,PORTOBELLO ROAD,43,"{'lat': 53.330091, 'lng': -6.268044}",OPEN
17,Parnell Street,18,2,False,20,False,Dublin,1457385847000,PARNELL STREET,31,"{'lat': 53.350929, 'lng': -6.265125}",OPEN
18,Frederick Street South,38,2,True,40,False,Dublin,1457385430000,FREDERICK STREET SOUTH,98,"{'lat': 53.341515, 'lng': -6.2568529999999996}",OPEN
19,Fownes Street Upper,30,0,False,30,False,Dublin,1457385749000,FOWNES STREET UPPER,14,"{'lat': 53.344603, 'lng': -6.263371}",OPEN
20,Chatham Street,29,0,False,29,False,Dublin,1457385493000,CHATHAM STREET,1,"{'lat': 53.340962, 'lng': -6.262287}",OPEN
21,Custom House,10,20,True,30,False,Dublin,1457385696000,CUSTOM HOUSE,23,"{'lat': 53.348279, 'lng': -6.254662}",OPEN
22,Benson Street,37,3,False,40,False,Dublin,1457385555000,BENSON STREET,90,"{'lat': 53.344153, 'lng': -6.233451}",OPEN
23,Fenian Street,32,3,False,35,False,Dublin,1457385489000,FENIAN STREET,63,"{'lat': 53.341428, 'lng': -6.24672}",OPEN
24,South Dock Road,6,24,False,30,False,Dublin,1457385743000,SOUTH DOCK ROAD,91,"{'lat': 53.341833, 'lng': -6.231291}",OPEN
25,The Point,11,29,True,40,False,Dublin,1457385460000,THE POINT,67,"{'lat': 53.346867, 'lng': -6.230852}",OPEN
26,Lime Street,39,1,False,40,False,Dublin,1457385687000,LIME STREET,62,"{'lat': 53.346026, 'lng': -6.243576}",OPEN
27,Kilmainham Gaol,0,40,True,40,False,Dublin,1457385316000,KILMAINHAM GAOL,97,"{'lat': 53.342113, 'lng': -6.310015}",OPEN
28,Guild Street,29,11,False,40,False,Dublin,1457385796000,GUILD STREET,49,"{'lat': 53.347932, 'lng': -6.240928}",OPEN
29,Herbert Place,30,0,False,30,False,Dublin,1457385847000,HERBERT PLACE,19,"{'lat': 53.334432, 'lng': -6.245575}",OPEN
30,Western Way,34,6,False,40,False,Dublin,1457385858000,WESTERN WAY,102,"{'lat': 53.354929, 'lng': -6.269425}",OPEN
31,Newman House,40,0,False,40,False,Dublin,1457385567000,NEWMAN HOUSE,53,"{'lat': 53.337132, 'lng': -6.26059}",OPEN
32,King Street North,0,30,False,30,False,Dublin,1457385627000,KING STREET NORTH,101,"{'lat': 53.350291, 'lng': -6.273507}",OPEN
33,Herbert Street,40,0,False,40,False,Dublin,1457385849000,HERBERT STREET,47,"{'lat': 53.335742, 'lng': -6.24551}",OPEN
34,Earlsfort Terrace,30,0,False,30,False,Dublin,1457385812000,EARLSFORT TERRACE,11,"{'lat': 53.334019, 'lng': -6.258371}",OPEN
35,Golden Lane,19,1,False,20,False,Dublin,1457385827000,GOLDEN LANE,17,"{'lat': 53.340803, 'lng': -6.267732}",OPEN
36,Deverell Place,0,29,False,30,False,Dublin,1457385850000,DEVERELL PLACE,45,"{'lat': 53.351464, 'lng': -6.255265}",OPEN
37,John Street West,18,13,False,31,False,Dublin,1457385311000,JOHN STREET WEST,72,"{'lat': 53.343105, 'lng': -6.277167}",OPEN
